date;mom;yoy;base_algo;base_mom
2013-10-01;104.5;94.9;108.507968;31.20293912
2013-11-01;100;97.4;118.4429182;31.20293912
2013-12-01;100.7;92.1;114.2084127;31.42135969
2014-01-01;91.7;96.2;127.4185244;28.81338684
2014-02-01;99.5;90.3;97.59645306;28.6693199
2014-03-01;101.8;93.3;99.04209024;29.18536766
2014-04-01;100.7;95.6;118.4376479;29.38966524
2014-05-01;93;95.6;94.3621887;27.33238867
2014-06-01;99.7;95.3;94.87017379;27.2503915
2014-07-01;96.8;96.2;104.5033046;26.37837897
2014-08-01;100;97;121.7895079;26.37837897
2014-09-01;98.4;98.6;115.6206793;25.95632491
2014-10-01;106.2;96.4;104.6016812;27.56561706
2014-11-01;99.7;98.3;116.4293886;27.4829202
2014-12-01;103.9;96.4;110.0969098;28.55475409
2015-01-01;92;104;132.5152654;26.27037377
2015-02-01;96.1;100.7;98.27962823;25.24582919
2015-03-01;101.9;98.9;97.95262725;25.72549994
2015-04-01;99;98.8;117.0163961;25.46824494
2015-05-01;90.2;96.5;91.0595121;22.97235694
2015-06-01;99.5;94;89.17796336;22.85749515
2015-07-01;96.5;100;104.5033046;22.05748282
2015-08-01;91.6;93.5;113.8731899;20.20465427
2015-09-01;100.5;97.6;112.845783;20.30567754
2015-10-01;99.3;96.5;100.9406223;20.1635378
2015-11-01;97.9;96.9;112.8200776;19.7401035
2015-12-01;106.2;95.2;104.8122582;20.96398992
2016-01-01;90;90.7;120.1913457;18.86759093
2016-02-01;101.7;96.3;94.64328199;19.18833997
2016-03-01;100.5;98;95.9935747;19.28428167
2016-04-01;94.9;94.4;110.4634779;18.30078331
2016-05-01;94.8;99.4;90.51315502;17.34914258
2016-06-01;98.2;91.7;81.7761924;17.03685801
2016-07-01;96.3;90.7;94.78449727;16.40649426
2016-08-01;100.2;99.2;112.9622044;16.43930725
2016-09-01;100.1;92;103.8181203;16.45574656
2016-10-01;103.8;96;96.90299742;17.08106493
2016-11-01;102.1;100.1;112.9328977;17.43976729
2016-12-01;103.9;100.7;105.545944;18.11991822
2017-01-01;94.6;106.4;127.8835918;17.14144263
2017-02-01;97.9;97.3;92.08791338;16.78147234
2017-03-01;99.9;96.9;93.01777389;16.76469086
2017-04-01;96.9;100.8;111.3471858;16.24498545
2017-05-01;97.6;102.2;92.50444443;15.8551058
2017-06-01;96.8;100.2;81.93974479;15.34774241
2017-07-01;95.8;100.2;94.97406627;14.70313723
2017-08-01;100.1;98.5;111.2677713;14.71784037
2017-09-01;101.1;98.8;102.5723029;14.87973661
2017-10-01;102.6;97.5;94.48042249;15.26660976
2017-11-01;102.6;98.3;111.0130384;15.66354162
2017-12-01;103.4;97;102.3795656;16.19610203
2018-01-01;91.7;98.6;126.0932215;14.85182556
2018-02-01;95.7;98.8;90.98285841;14.21319706
2018-03-01;102;99.6;92.64570279;14.49746101
2018-04-01;97.1;102.2;113.7968238;14.07703464
2018-05-01;96.3;99.6;92.13442666;13.55618435
